LicenseID,FeeExemptModifierCode
1133916,VOL
1133963,RETI
1133967,RETI
1134011,VOL
1134042,RETI
1134048,RETI
1134111,RETI
1134137,RETI
1134159,RETI
1134180,RETI
1134199,VOL
1134237,RETI
1134325,RETI
1134594,RETI
1134642,RETI
1134687,RETI
1134712,RETI
1134776,RETI
1134900,RETI
1134962,RETI
1135040,RETI
1135096,VOL
1135118,RETI
1135151,RETI
1135222,RETI
1135677,RETI
1135695,RETI
1135868,RETI
1135902,RETI
1135905,RETI
1135979,RETI
1135995,RETI
1136040,DIS
1136063,RETI
1136195,RETI
1136255,RETI
1136402,RETI
1136640,RETI
1136677,RETI
1136718,RETI
1136745,RETI
1136771,RETI
1136871,RETI
1136887,RETI
1136893,RETI
1136919,RETI
1136979,VOL
1137024,VOL
1137038,RETI
1137048,RETI
1137079,RETI
1137100,VOL
1137115,VOL
1137128,RETI
1137199,RETI
1137241,RETI
1137254,RETI
1137336,VOL
1137372,RETI
1137395,VOL
1137525,VOL
1137538,RETI
1137559,VOL
1137562,RETI
1137592,RETI
1137602,RETI
1137609,RETI
1137623,RETI
1137709,VOL
1137784,RETI
1137801,RETI
1137802,RETI
1137825,RETI
1137867,RETI
1137879,VOL
1137884,RETI
1137893,DIS
1137910,RETI
1137958,VOL
1137996,VOL
1138033,VOL
1138072,RETI
1138093,VOL
1138147,RETI
1138224,VOL
1138228,RETI
1138295,RETI
1138366,VOL
1138380,RETI
1138413,RETI
1138528,VOL
1138588,VOL
1138605,VOL
1138645,RETI
1138705,RETI
1138727,VOL
1138767,VOL
1138770,VOL
1138826,RETI
1138847,RETI
1138895,VOL
1138911,VOL
1138932,VOL
1138955,RETI
1138963,VOL
1138988,VOL
1139047,RETI
1139069,RETI
1139080,RETI
1139084,RETI
1139086,RETI
1139119,RETI
1139125,VOL
1139132,VOL
1139145,RETI
1139152,RETI
1139222,RETI
1139253,VOL
1139273,VOL
1139356,VOL
1139510,DIS
1139537,RETI
1139562,RETI
1139576,VOL
1139596,VOL
1139617,RETI
1139676,RETI
1139700,VOL
1139727,RETI
1139728,VOL
1139853,VOL
1139885,RETI
1139912,RETI
1139949,RETI
1139969,VOL
1139981,RETI
1139987,RETI
1139991,DIS
1160067,VOL
1160105,VOL
1160128,RETI
1160140,VOL
1160144,RETI
1160173,RETI
1160181,VOL
1160246,RETI
1160249,RETI
1160285,RETI
1160293,VOL
1160319,MIL
1160350,RETI
1160358,RETI
1160478,RETI
1160582,RETI
1160602,RETI
1160614,RETI
1160620,RETI
1160678,VOL
1160705,RETI
1160719,RETI
1160837,RETI
1160840,RETI
1160874,VOL
1160883,RETI
1160885,RETI
1160935,RETI
1160939,RETI
1160942,RETI
1161094,RETI
1161118,VOL
1161124,RETI
1161286,VOL
1161330,RETI
1161434,RETI
1161457,RETI
1161488,RETI
1161510,RETI
1161517,RETI
1161520,VOL
1161535,RETI
1161559,RETI
1161596,RETI
1161829,RETI
1161882,RETI
1161888,RETI
1162071,RETI
1162247,RETI
1162263,RETI
1162306,RETI
1162382,VOL
1162553,RETI
1162660,RETI
1162678,RETI
1162718,RETI
1162721,RETI
1162751,VOL
1162760,RETI
1162778,RETI
1162835,RETI
1162893,RETI
1162963,RETI
1163041,RETI
1163059,VOL
1163094,MIL
1163155,RETI
1163236,VOL
1163238,RETI
1163246,RETI
1163262,RETI
1163319,RETI
1163357,RETI
1163434,RETI
1163527,RETI
1163537,RETI
1163596,RETI
1163604,RETI
1163661,RETI
1163684,RETI
1163690,RETI
1163695,RETI
1163738,MIL
1163744,RETI
1163804,RETI
1163914,RETI
1163968,RETI
1164124,RETI
1164315,RETI
1164348,RETI
1164363,RETI
1164701,RETI
1164763,RETI
1164768,VOL
1164941,RETI
1165021,RETI
1165105,RETI
1165168,RETI
1165296,RETI
1165309,RETI
1165320,RETI
1165383,RETI
1165407,RETI
1165526,RETI
1165967,RETI
1166086,RETI
1166164,RETI
1166276,RETI
1166392,RETI
1166413,RETI
1166465,RETI
1166753,RETI
1166873,RETI
1166921,RETI
1166930,RETI
1166970,RETI
1167177,RETI
1167181,RETI
1167186,MIL
1167195,RETI
1167265,RETI
1167483,MIL
1167553,MIL
1167561,RETI
1167565,VOL
1167605,RETI
1167705,RETI
1167731,RETI
1167750,RETI
1167788,RETI
1167875,RETI
1167911,RETI
1168008,RETI
1168025,RETI
1168031,RETI
1168111,RETI
1168219,MIL
1168271,RETI
1168360,RETI
1168848,MIL
1168936,RETI
1169058,RETI
1169237,RETI
1169240,RETI
1169267,RETI
1169288,VOL
1169435,RETI
1169628,RETI
1169745,RETI
1169857,RETI
1169958,RETI
1190035,RETI
1190043,RETI
1190128,RETI
1190193,RETI
1190258,RETI
1190278,RETI
1190282,RETI
1190293,RETI
1190305,VOL
1190476,RETI
1190523,RETI
1190536,RETI
1190564,RETI
1190589,RETI
1190639,RETI
1190653,RETI
1190658,VOL
1190858,RETI
1190882,RETI
1190891,RETI
1190971,RETI
1190995,RETI
1191014,DIS
1191054,RETI
1191072,VOL
1191257,RETI
1191262,VOL
1191350,RETI
1191366,RETI
1191420,RETI
1191434,RETI
1191468,RETI
1191514,RETI
1191529,RETI
1191561,RETI
1191653,VOL
1191667,RETI
1191707,RETI
1191731,RETI
1191742,RETI
1191854,RETI
1191932,VOL
1192133,RETI
1192136,RETI
1192282,RETI
1192332,RETI
1192580,RETI
1192601,MIL
1192633,VOL
1192638,RETI
1192674,RETI
1192808,VOL
1192844,RETI
1192854,RETI
1192996,RETI
1193080,RETI
1193160,RETI
1193212,RETI
1193375,RETI
1193386,RETI
1193433,RETI
1193523,MIL
1193573,RETI
1193591,VOL
1193669,VOL
1193692,RETI
1193789,RETI
1193808,RETI
1193931,RETI
1194032,RETI
1194059,RETI
1194093,MIL
1194141,RETI
1194158,RETI
1194221,RETI
1194492,RETI
1194499,RETI
1194543,RETI
1194593,RETI
1194681,RETI
1194838,RETI
1194855,RETI
1194858,RETI
1194890,RETI
1194893,RETI
1194897,RETI
1194937,RETI
1195162,VOL
1195176,RETI
1195234,RETI
1195308,VOL
1195438,RETI
1195444,VOL
1195468,RETI
1195473,DIS
1195505,RETI
1195519,RETI
1195556,RETI
1195588,RETI
1195731,RETI
1195791,RETI
1195803,RETI
1195834,RETI
1195964,RETI
1196054,RETI
1196152,RETI
1196195,RETI
1196454,RETI
1196519,RETI
1196616,RETI
1196797,RETI
1196965,RETI
1197070,MIL
1197086,RETI
1197108,RETI
1197204,RETI
1197418,RETI
1197538,RETI
1197578,RETI
1197647,RETI
1197659,RETI
1197671,RETI
1197700,RETI
1197737,RETI
1197745,RETI
1197845,RETI
1197859,RETI
1197929,RETI
1197943,RETI
1198130,RETI
1198294,RETI
1198324,RETI
1198359,RETI
1198402,RETI
1198442,RETI
1198460,RETI
1198501,RETI
1198597,RETI
1198603,RETI
1198693,VOL
1198741,RETI
1198760,VOL
1198777,RETI
1198845,RETI
1198861,RETI
1198866,VOL
1198893,RETI
1198896,RETI
1198932,RETI
1198934,VOL
1198950,RETI
1198984,VOL
1198996,VOL
1199003,RETI
1199028,VOL
1199088,VOL
1199100,VOL
1199137,VOL
1199230,VOL
1199248,VOL
1199255,VOL
1199265,RETI
1199282,VOL
1199290,RETI
1199359,RETI
1199404,VOL
1199409,VOL
1199432,RETI
1199474,RETI
1199521,RETI
1199524,RETI
1199547,DIS
1199563,VOL
1199572,RETI
1199598,VOL
1199608,VOL
1199612,VOL
1199618,RETI
1199634,RETI
1199645,RETI
1199652,RETI
1199662,VOL
1199666,VOL
1199672,RETI
1199688,VOL
1199692,RETI
1199732,VOL
1199771,RETI
1199789,VOL
1199845,RETI
1199862,VOL
1220011,RETI
1220040,VOL
1220043,RETI
1220056,VOL
1220071,RETI
1220121,VOL
1220147,RETI
1220172,RETI
1220180,VOL
1220199,VOL
1220204,RETI
1220221,VOL
1220249,RETI
1220257,VOL
1220300,VOL
1220311,RETI
1220352,VOL
1220389,RETI
1220407,DIS
1220418,RETI
1220456,RETI
1220469,VOL
1220477,RETI
1220492,RETI
1220535,VOL
1220557,RETI
1220569,RETI
1220630,RETI
1220639,VOL
1220651,VOL
1220675,VOL
1220791,RETI
1220859,RETI
1220865,RETI
1220946,VOL
1220969,VOL
1220996,VOL
1220998,VOL
1221008,RETI
1221011,VOL
1221017,RETI
1221063,VOL
1221072,RETI
1221084,RETI
1221096,VOL
1221121,VOL
1221131,RETI
1221151,RETI
1221167,VOL
1221172,VOL
1221228,RETI
1221230,RETI
1221242,RETI
1221274,RETI
1221307,VOL
1221381,RETI
1221412,VOL
1221422,RETI
1221441,RETI
1221444,RETI
1221567,VOL
1221745,RETI
1222002,RETI
1222217,RETI
1222232,RETI
1222236,RETI
1222243,RETI
1222315,RETI
1222352,RETI
1222382,RETI
1222401,RETI
1222488,RETI
1222574,RETI
1222803,RETI
1222901,RETI
1222943,RETI
1223080,RETI
1223256,RETI
1223504,RETI
1223547,RETI
1223579,VOL
1223589,RETI
1223726,RETI
1223851,RETI
1223973,RETI
1224019,RETI
1224048,RETI
1224269,RETI
1224370,RETI
1224436,RETI
1224502,RETI
1224538,RETI
1224593,RETI
1224653,RETI
1224699,RETI
1224714,VOL
1224736,RETI
1224926,VOL
1225014,MIL
1225035,RETI
1225099,RETI
1225216,RETI
1225263,RETI
1225325,RETI
1225349,RETI
1225408,RETI
1225415,RETI
1225469,RETI
1225566,RETI
1225638,RETI
1225814,RETI
1225823,RETI
1225837,RETI
1225902,RETI
1225911,RETI
1225924,RETI
1225947,RETI
1225955,RETI
1226097,RETI
1226113,RETI
1226184,RETI
1226205,RETI
1226383,RETI
1226424,RETI
1226437,RETI
1226448,VOL
1226660,RETI
1226741,RETI
1226759,RETI
1226873,VOL
1226932,RETI
1226999,RETI
1227018,RETI
1227074,RETI
1227158,RETI
1227164,RETI
1227181,RETI
1227207,RETI
1227332,RETI
1227492,RETI
1227574,RETI
1227578,RETI
1227598,RETI
1227642,RETI
1227713,RETI
1227800,MIL
1227809,MIL
1227848,RETI
1227963,RETI
1227978,RETI
1228012,RETI
1228212,VOL
1228392,RETI
1228416,RETI
1228420,RETI
1228472,RETI
1228568,RETI
1228585,MIL
1228640,RETI
1228679,MIL
1228970,RETI
1229154,RETI
1229186,RETI
1229317,MIL
1229331,RETI
1229360,RETI
1229378,RETI
1229586,RETI
1229596,RETI
1229645,RETI
1229665,RETI
1229684,RETI
1229741,RETI
1229809,RETI
123173,RETI
123280,RETI
1250029,RETI
1250137,RETI
1250220,RETI
1250322,RETI
1250333,RETI
1250528,RETI
1250535,RETI
1250586,MIL
1250604,RETI
1250670,RETI
1250728,RETI
1250791,RETI
1250898,RETI
1251042,RETI
1251338,RETI
1251342,RETI
1251530,MIL
1251543,RETI
1251660,RETI
1251683,RETI
1251726,RETI
1251747,RETI
1251841,VOL
1251860,RETI
1251864,MIL
1251872,DIS
1251875,RETI
1251883,RETI
1251911,RETI
1251950,RETI
1252019,VOL
1252135,VOL
1252287,RETI
1252342,RETI
1252515,RETI
1252572,RETI
1252614,RETI
1252646,RETI
1252735,RETI
1252761,RETI
1252771,RETI
1252897,RETI
1252945,RETI
1252999,RETI
1253107,MIL
1253115,RETI
1253203,RETI
1253225,RETI
1253250,VOL
1253282,RETI
1253293,RETI
1253357,RETI
1253431,RETI
1253453,MIL
1253516,RETI
1253613,RETI
1253629,RETI
1253728,RETI
1253739,RETI
1253742,RETI
1253761,RETI
1253780,RETI
1253815,RETI
1253866,VOL
1254099,RETI
1254141,RETI
1254358,RETI
1254414,RETI
1254451,RETI
1254505,RETI
1254521,VOL
1254542,RETI
1254670,RETI
1254838,RETI
1255152,RETI
1255175,RETI
1255299,RETI
1255304,RETI
1255366,RETI
1255516,VOL
1255555,RETI
1255581,RETI
1255768,RETI
1255778,DIS
1255897,RETI
1255932,RETI
1255944,RETI
1256029,RETI
1256187,RETI
1256216,RETI
1256245,RETI
1256260,RETI
1256327,RETI
1256366,RETI
1256432,RETI
1256474,RETI
1256645,RETI
1256858,RETI
1256862,RETI
1256941,RETI
1256971,RETI
1257127,RETI
1257132,RETI
1257240,VOL
1257273,RETI
1257355,VOL
1257491,VOL
1257541,RETI
1257570,RETI
1257625,RETI
1257634,RETI
1257643,RETI
1257694,RETI
1257792,VOL
